ticker,return_1y,return_6m,return_1m,volatility,momentum,ma_50,ma_200,sector,market_cap,price,dividend,avg_volume
ESCORTS.NS,0.2272629074456567,0.0005649100490441507,0.05590851094405244,0.018544132726462555,-108.039306640625,3629.115390625,3536.257049560547,Industrials,390720749568,3551.2,1.28,108011
ETERNAL.NS,0.09478696887117669,-0.205229793977813,-0.08351610231642467,0.022135069717293378,-36.95001220703125,279.2620004272461,291.4110495758057,Consumer Cyclical,2286237253632,250.9,,42391414
EXIDEIND.NS,-0.04764330696478027,-0.15242900667882492,0.04430970065160152,0.014673477875562644,-8.25,344.10200073242186,377.24858337402344,Consumer Cyclical,285763895296,336.1,0.59,1510007
NYKAA.NS,0.6444487368099975,0.14807741904686766,0.11254741467927631,0.01749027292437629,11.3800048828125,258.35560028076173,237.12269966125487,Consumer Cyclical,755961888768,264.04,,6477132
FEDERALBNK.NS,0.6806964276924893,0.5572999704630096,0.03753253794254996,0.015097861143468807,28.29998779296875,276.3030010986328,229.72849090576173,Financial Services,734031904768,298.45,0.4,9199385
FACT.NS,-0.019137145994439185,-0.2069529098563956,-0.10229566916800581,0.026635180255680634,-100.5,827.652001953125,907.8017593383789,Basic Materials,473915555840,732.4,0.05,237720
FINCABLES.NS,0.05823663538621294,0.08320079245860387,0.21869160568643994,0.019183629780603943,100.29998779296875,775.2160046386718,835.07111328125,Industrials,134747209728,881.05,0.97,226483
FINPIPE.NS,0.05873139785153169,-0.10464812100666884,0.037238607929277676,0.019113433147608792,6.339996337890625,177.36639923095703,193.62540222167968,Industrials,113040154624,182.82,1.09,625843
FSL.NS,-0.3820355156925586,-0.371912198256133,-0.3107430626279738,0.02417444773149271,-103.6783447265625,297.44217407226563,336.5078297424316,Technology,149090697216,215.7,2.5,904398
FIVESTAR.NS,-0.4256103366025331,-0.2323639973084285,-0.08235555939298166,0.023830240831843832,-97.19998168945312,490.6740026855469,593.2307931518554,Financial Services,123111669760,417.8,0.47,1416411
FORCEMOT.NS,2.843381328434095,0.30265901674700463,0.31888512633498306,0.03376150261830776,4751.0,21208.52,17640.90463378906,Consumer Cyclical,332502958080,25235.0,0.16,91070
FORTIS.NS,0.5568081446817015,0.0505211056423135,0.12454490639221227,0.017536921946234726,61.0999755859375,894.3229992675781,889.4372583007812,Healthcare,722834685952,957.45,0.1,1849962
